KotaKab,skor
 Kab. Halmahera Timur,430
 Kab. Solok,610
 Kab. Aceh Barat Daya,450
 Kab. Aceh Besar,990
 Kab. Aceh Jaya,410
 Kab. Aceh Selatan,600
 Kab. Aceh Singkil,530
 Kab. Aceh Tamiang,850
 Kab. Aceh Tengah,710
 Kab. Aceh Tenggara,810
 Kab. Aceh Timur,1210
 Kab. Aceh Utara,810
 Kab. Agam,890
 Kab. Alor,850
 Kab. Asahan,2090
 Kab. Asmat,420
 Kab. Badung,2660
 Kab. Balangan,500
 Kab. Bandung,3670
 Kab. Bandung Barat,2700
 Kab. Banggai,610
 Kab. Banggai Kepulauan,430
 Kab. Banggai Laut,350
 Kab. Bangka,1830
 Kab. Bangka Barat,650
 Kab. Bangka Selatan,450
 Kab. Bangka Tengah,670
 Kab. Bangkalan,1310
 Kab. Bangli,1120
 Kab. Banjar,1680
 Kab. Banjarnegara,1330
 Kab. Bantaeng,560
 Kab. Bantul,4120
 Kab. Banyuasin,1100
 Kab. Banyumas,6520
 Kab. Banyuwangi,3970
 Kab. Barito Kuala,560
 Kab. Barito Selatan,440
 Kab. Barito Timur,430
 Kab. Barito Utara,520
 Kab. Barru,470
 Kab. Batang,1390
 Kab. Batang Hari,740
 Kab. Batu Bara,810
 Kab. Bekasi,9330
 Kab. Belitung,690
 Kab. Belitung Timur,390
 Kab. Belu,1110
 Kab. Bener,420
 Kab. Bengkalis,1670
 Kab. Bengkayang,790
 Kab. Bengkulu Tengah,510
 Kab. Bengkulu Utara,840
 Kab. Berau,730
 Kab. Biak Numfor,850
 Kab. Bima,830
 Kab. Bintan (Kepri),770
 Kab. Bireun,1850
 Kab. Blitar,2170
 Kab. Blora,2190
 Kab. Boalemo,410
 Kab. Bogor,9040
 Kab. Bojonegoro,2980
 Kab. Boloangmongondow,490
 Kab. Bombana,540
 Kab. Bondowoso,1290
 Kab. Bone,1580
 Kab. Bone Bolango,820
 Kab. Bouven Digul,520
 Kab. Boyolali,3640
 Kab. Brebes,4030
 Kab. Buleleng,2390
 Kab. Bulukumba,670
 Kab. Bulungan,520
 Kab. Bungo,1230
 Kab. Buol,430
 Kab. Buru,400
 Kab. Buru Selatan,410
 Kab. Buton,430
 Kab. Buton Selatan,370
 Kab. Buton Tengah,410
 Kab. Buton Utara,400
 Kab. Ciamis,1960
 Kab. Cianjur,1890
 Kab. Cilacap,2540
 Kab. Cirebon,4270
 Kab. Dairi,690
 Kab. Deiyai,390
 Kab. Deli Serdang,4770
 Kab. Demak,1680
 Kab. Dharmasraya,580
 Kab. Dogiyai,410
 Kab. Dompu,470
 Kab. Donggala,490
 Kab. Empat Lawang,420
 Kab. Ende,870
 Kab. Enrekang,480
 Kab. Fak Fak,400
 Kab. Flores Timur,560
 Kab. Garut,2730
 Kab. Gayo Lues,480
 Kab. Gianyar,2360
 Kab. Gorontalo,970
 Kab. Gorontalo Utara,470
 Kab. Gowa,970
 Kab. Gresik,5190
 Kab. Grobogan,2380
 Kab. Gunung Kidul,1860
 Kab. Gunung Mas,470
 Kab. Halmahera Barat,430
 Kab. Halmahera Selatan,650
 Kab. Halmahera Tengah,400
 Kab. Halmahera Utara,760
 Kab. Hulu Sungai Selatan,1080
 Kab. Hulu Sungai Tengah,660
 Kab. Hulu Sungai Utara,540
 Kab. Humbang Hasundutan,490
 Kab. Indragiri Hilir,1130
 Kab. Indragiri Hulu,1170
 Kab. Indramayu,2340
 Kab. Intan Jaya,350
 Kab. Jayapura,530
 Kab. Jayawijaya,440
 Kab. Jember,4070
 Kab. Jembrana,1340
 Kab. Jeneponto,510
 Kab. Jepara,2110
 Kab. Jombang,3850
 Kab. Kaimana,370
 Kab. Kampar,2300
 Kab. Kapuas,650
 Kab. Kapuas Hulu,790
 Kab. Karang Asem,840
 Kab. Karanganyar,1820
 Kab. Karawang,6370
 Kab. Karo,1700
 Kab. Katingan,470
 Kab. Kaur,510
 Kab. Kayong Utara,380
 Kab. Kebumen,4380
 Kab. Kediri,3270
 Kab. Kendal,1650
 Kab. Kep Mentawai,400
 Kab. Kep. Anambas,610
 Kab. Kep. Seribu,350
 Kab. Kepahyang,530
 Kab. Kepulauan Aru,600
 Kab. Kepulauan Sula,400
 Kab. Kerinci,530
 Kab. Kerom,400
 Kab. Ketapang,1080
 Kab. Klaten,4060
 Kab. Klungkung,1120
 Kab. Kolaka,550
 Kab. Kolaka Timur,410
 Kab. Kolaka Utara,470
 Kab. Konawe,950
 Kab. Konawe Kepulauan,360
 Kab. Konawe Selatan,570
 Kab. Konawe Utara,490
 Kab. Kotabaru,730
 Kab. Kotawaringin Barat,660
 Kab. Kotawaringin Timur,700
 Kab. Kuantan Singingi,910
 Kab. Kubu Raya,1130
 Kab. Kudus,3150
 Kab. Kulon Progo,1970
 Kab. Kuningan,3090
 Kab. Kupang,590
 Kab. Kutai Barat,520
 Kab. Kutai Kertanegara,1480
 Kab. Kutai Timur,1620
 Kab. Labuhanbatu,940
 Kab. Labuhanbatu Selatan,1170
 Kab. Labuhanbatu Utara,1120
 Kab. Lahat,1080
 Kab. Lamandau,410
 Kab. Lamongan,3490
 Kab. Lampung Barat,740
 Kab. Lampung Selatan,1500
 Kab. Lampung Tengah,3050
 Kab. Lampung Timur,1830
 Kab. Lampung Utara,1790
 Kab. Landak,480
 Kab. Langkat,1800
 Kab. Lanny Jaya,390
 Kab. Lebak,1740
 Kab. Lebong,460
 Kab. Lembata,650
 Kab. Lima Puluh Koto,600
 Kab. Lingga,670
 Kab. Lombok Barat,830
 Kab. Lombok Tengah,1420
 Kab. Lombok Timur,1270
 Kab. Lombok Utara,390
 Kab. Lumajang,2190
 Kab. Luwu,1030
 Kab. Luwu Timur,870
 Kab. Luwu Utara,830
 Kab. Madiun,1350
 Kab. Magelang,1600
 Kab. Magetan,1180
 Kab. Mahakam Ulu,350
 Kab. Majalengka,1870
 Kab. Majene,480
 Kab. Malaka,480
 Kab. Malang,5180
 Kab. Malinau,710
 Kab. Maluku Barat Daya,490
 Kab. Maluku Tengah,1420
 Kab. Maluku Tenggara,690
 Kab. Mamasa,490
 Kab. Mamberamo Tengah,340
 Kab. Mamuju,1390
 Kab. Mamuju Tengah,400
 Kab. Mamuju Utara,520
 Kab. Mandailing Natal,1240
 Kab. Manggarai,800
 Kab. Manggarai Barat,730
 Kab. Manggarai Timur,520
 Kab. Manokwari,760
 Kab. Manokwari Selatan,330
 Kab. Mapi,400
 Kab. Maros,940
 Kab. Maybrat,430
 Kab. Melawi,930
 Kab. Membramo Raya,370
 Kab. Mempawah,480
 Kab. Merangin,920
 Kab. Meranti,400
 Kab. Merauke,1180
 Kab. Mesuji,430
 Kab. Mimika,1430
 Kab. Minahasa,1540
 Kab. Minahasa Selatan,1130
 Kab. Minahasa Tenggara,500
 Kab. Mojokerto,3430
 Kab. Morowali,390
 Kab. Morowali Utara,450
 Kab. Muara Enim,980
 Kab. Muara Jambi,1090
 Kab. Muko-Muko,510
 Kab. Muna,660
 Kab. Murung Raya,450
 Kab. Musi Banyuasin,1350
 Kab. Musi Rawas,880
 Kab. Musi Rawas Utara,440
 Kab. Nabire,600
 Kab. Nagan Raya,480
 Kab. Nagekeo,390
 Kab. Natuna,460
 Kab. Nduga,370
 Kab. Ngada,450
 Kab. Nganjuk,1590
 Kab. Ngawi,1250
 Kab. Nias,390
 Kab. Nias Barat,380
 Kab. Nias Selatan,690
 Kab. Nias Utara,400
 Kab. Nunukan,460
 Kab. O.K.U Selatan,550
 Kab. O.K.U Timur,1450
 Kab. Ogan Ilir,910
 Kab. Ogan Komering Hilir,790
 Kab. Ogan Komering Ulu,1190
 Kab. Pacitan,850
 Kab. Padang Lawas,720
 Kab. Padang Lawas Utara,510
 Kab. Padang Pariaman,900
 Kab. Pakpak Bharat,380
 Kab. Pamekasan,1560
 Kab. Pandeglang,770
 Kab. Pangandaran,510
 Kab. Pangkep,600
 Kab. Paniai,470
 Kab. Parigi Moutong,1050
 Kab. Pasaman,780
 Kab. Pasaman Barat,1110
 Kab. Pasir,900
 Kab. Pasir Utara,480
 Kab. Pasuruan,2740
 Kab. Pati,3290
 Kab. Pegunungan Arfak,380
 Kab. Pegunungan Bintang,590
 Kab. Pekalongan,1360
 Kab. Pelalawan,1430
 Kab. Pemalang,2490
 Kab. Penungkalabab L Ilir,410
 Kab. Pesawaran,750
 Kab. Pesisir Barat,420
 Kab. Pesisir Selatan,800
 Kab. Pidie,1670
 Kab. Pidie Jaya,450
 Kab. Pinrang,820
 Kab. Pohuwato,460
 Kab. Polewali Mandar,840
 Kab. Ponorogo,1830
 Kab. Poso,790
 Kab. Pringsewu,1370
 Kab. Probolinggo,2100
 Kab. Pulang Pisau,680
 Kab. Pulau Morotai,380
 Kab. Pulau Taliabu,350
 Kab. Puncak,370
 Kab. Puncak Jaya,370
 Kab. Purbalingga,2230
 Kab. Purwakarta,3250
 Kab. Purworejo,2540
 Kab. Raja Ampat,480
 Kab. Rejang Lebong,660
 Kab. Rembang,1010
 Kab. Rokan Hilir,1180
 Kab. Rokan Hulu,1470
 Kab. Rote-Ndao,430
 Kab. Sabu Raijua,350
 Kab. Salatiga,1340
 Kab. Sambas,1250
 Kab. Samosir,470
 Kab. Sampang,790
 Kab. Sanggau,1010
 Kab. Sangihe,500
 Kab. Sangirtalaut,790
 Kab. Sarmi,380
 Kab. Sarolangun,640
 Kab. Sekadau,440
 Kab. Selayar,470
 Kab. Seluma,540
 Kab. Semarang,2330
 Kab. Seram Bagian Barat,460
 Kab. Seram Bagian Timur,480
 Kab. Serang,1490
 Kab. Serdang Bedagai,1450
 Kab. Seruyan,730
 Kab. Siak Sri Indrapura,600
 Kab. Sidenreng Rappang,1010
 Kab. Sidoarjo,5930
 Kab. Sigi,490
 Kab. Sikka,1130
 Kab. Simalungun,2480
 Kab. Simeulue,430
 Kab. Sinjai,510
 Kab. Sintang,890
 Kab. Situbondo,1660
 Kab. Sleman,7350
 Kab. Solok Sel,480
 Kab. Soppeng,510
 Kab. Sor Sel,430
 Kab. Sorong,500
 Kab. Sragen,3100
 Kab. Subang,2590
 Kab. Subulussalam,390
 Kab. Sukabumi,2940
 Kab. Sukamara,360
 Kab. Sukoharjo,2950
 Kab. Sumba Barat,700
 Kab. Sumba Barat Daya,460
 Kab. Sumba Tengah,370
 Kab. Sumba Timur,1100
 Kab. Sumbawa Barat,490
 Kab. Sumbawa Besar,870
 Kab. Sumedang,1620
 Kab. Sumenep,1470
 Kab. Supiori,350
 Kab. T.T.S Soe,720
 Kab. T.T.U Kefamenanu,940
 Kab. Tabalong,900
 Kab. Tabanan,2290
 Kab. Takalar,810
 Kab. Tambrauw,370
 Kab. Tana Tidung,340
 Kab. Tana Toraja,1030
 Kab. Tanah Bumbu,1080
 Kab. Tanah Datar,1310
 Kab. Tanah Laut,1380
 Kab. Tangerang,7220
 Kab. Tanggamus,870
 Kab. Tanjab Bar,610
 Kab. Tanjab Tim,470
 Kab. Tapanuli Selatan,500
 Kab. Tapanuli Tengah,710
 Kab. Tapanuli Utara,570
 Kab. Tapin,550
 Kab. Tasikmalaya,1570
 Kab. Tebo,520
 Kab. Tegal,2560
 Kab. Teluk Bintuni,490
 Kab. Teluk Wondama,350
 Kab. Temanggung,1630
 Kab. Tj Balai Karimun,740
 Kab. Toba Samosir,780
 Kab. Tojo Una Una,690
 Kab. Toli Toli,480
 Kab. Tolikara,540
 Kab. Toraja Utara,880
 Kab. Trenggalek,920
 Kab. Tuban,1690
 Kab. Tulang Bawang,1060
 Kab. Tulang Bawang Barat,690
 Kab. Tulungagung,3330
 Kab. Wajo,890
 Kab. Wakatobi,500
 Kab. Waropen,390
 Kab. Way Kanan,1180
 Kab. Wonogiri,2450
 Kab. Wonosobo,1190
 Kab. Yahukimo,600
 Kab. Yalimo,360
 Kab. Yapen,470
 Kab.Aceh Barat,1250
 Kab.Bolaang Mongondow Slt,370
 Kab.Bolaang Mongondow Tmr,350
 Kab.Bolaang Mongondow Utr,400
 Kab.Kp Siao Tagulandang B,670
 Kab.Maluku Tenggara Barat,460
 Kab.Muna Barat,450
 Kota Ambon,2840
 Kota Balikpapan,4900
 Kota Banda Aceh,3420
 Kota Bandar Lampung,5500
 Kota Bandung,9620
 Kota Banjar,1080
 Kota Banjar Baru,1660
 Kota Banjarmasin,3160
 Kota Batam,4380
 Kota Batu,1480
 Kota Bau-Bau,790
 Kota Bekasi,10460
 Kota Bengkulu,2800
 Kota Bengkulu Selatan,780
 Kota Bima,980
 Kota Binjai,2300
 Kota Bitung,1070
 Kota Blitar,1230
 Kota Bogor,5090
 Kota Bontang,1520
 Kota Bukittinggi,1480
 Kota Cilegon,1090
 Kota Cimahi,2030
 Kota Cirebon,3170
 Kota Denpasar,5490
 Kota Depok,6120
 Kota Dumai,540
 Kota Gorontalo,1860
 Kota Gunungsitoli,680
 Kota Jakarta Barat,6120
 Kota Jakarta Pusat,7030
 Kota Jakarta Selatan,9230
 Kota Jakarta Timur,11740
 Kota Jakarta Utara,6420
 Kota Jambi,3860
 Kota Jayapura,2230
 Kota Kediri,2510
 Kota Kendari,3230
 Kota Kotamobagu,1170
 Kota Kupang,3320
 Kota Langsa,1250
 Kota Lhokseumawe,2460
 Kota Lubuk Linggau,1230
 Kota Madiun,2090
 Kota Magelang,1720
 Kota Makassar,11690
 Kota Malang,6130
 Kota Manado,4500
 Kota Mataram,3310
 Kota Medan,13470
 Kota Metro,1790
 Kota Mojokerto,1680
 Kota Padang,6450
 Kota Padang Panjang,610
 Kota Padang Sidempuan,1030
 Kota Pagar Alam,420
 Kota Palangka Raya,1660
 Kota Palembang,9680
 Kota Palopo,1880
 Kota Palu,4160
 Kota Pangkal Pinang,1300
 Kota Pariaman,1200
 Kota Pasuruan,490
 Kota Payakumbuh,1200
 Kota Pekalongan,2410
 Kota Pekan Baru,7400
 Kota Pematang Siantar,2220
 Kota Pontianak,2750
 Kota Prabumulih,1340
 Kota Probolinggo,1310
 Kota Sabang,650
 Kota Samarinda,4210
 Kota Sawahlunto,400
 Kota Semarang,7290
 Kota Serang,2130
 Kota Sibolga,700
 Kota Singkawang,2040
 Kota Solok,920
 Kota Sorong,1640
 Kota Sukabumi,1820
 Kota Sungai Penuh,440
 Kota Surabaya,12630
 Kota Surakarta,4580
 Kota Tangerang,8380
 Kota Tangerang Selatan,5640
 Kota Tanjung Balai,690
 Kota Tanjung Pinang,1030
 Kota Tarakan,900
 Kota Tasikmalaya,3290
 Kota Tebing Tinggi,1460
 Kota Tegal,1070
 Kota Ternate,1730
 Kota Tidore Kepulauan,400
 Kota Tomohon,740
 Kota Tual,450
 Kota Yogyakarta,3880
 Minahasa Utara,1080
